date,time,pid,tid,Phase,Target,Vel,V,A,,
9/26/2025,10:54.5,5399,9060,RampUp,605.8146783,600,12.756,222,,-1.0%
9/26/2025,10:54.5,5399,9060,RampUp,607.6762702200001,620,12.756,233,,2.0%
9/26/2025,10:54.5,5399,9060,RampUp,609.1915954,600,12.756,236,,-1.5%
9/26/2025,10:54.5,5399,9060,RampUp,610.7053688800002,600,12.756,244,,-1.8%
9/26/2025,10:54.5,5399,9060,RampUp,612.232209,580,12.756,247,,-5.3%
9/26/2025,10:54.5,5399,9060,RampUp,613.79143,600,12.756,251,,-2.2%
9/26/2025,10:54.5,5399,9060,RampUp,615.3021818,600,12.751,269,,-2.5%
9/26/2025,10:54.5,5399,9060,RampUp,616.9112603199999,600,12.756,306,,-2.7%
9/26/2025,10:54.5,5399,9060,RampUp,618.3922446,600,12.756,306,,-3.0%
9/26/2025,10:54.6,5399,9060,RampUp,619.9400731000001,600,12.76,291,,-3.2%
9/26/2025,10:54.6,5399,9060,RampUp,621.4862275,620,12.756,287,,-0.2%
9/26/2025,10:54.6,5399,9060,RampUp,623.2026568,620,12.756,273,,-0.5%
9/26/2025,10:54.6,5399,9060,RampUp,624.7710653,620,12.756,266,,-0.8%
9/26/2025,10:54.6,5399,9060,RampUp,626.274222,640,12.76,266,,2.2%
9/26/2025,10:54.6,5399,9060,RampUp,627.7621071799999,640,12.756,273,,1.9%
9/26/2025,10:54.6,5399,9060,RampUp,629.2708990799999,640,12.756,262,,1.7%
9/26/2025,10:54.6,5399,9060,RampUp,630.7391433399999,640,12.756,258,,1.5%
9/26/2025,10:54.6,5399,9060,RampUp,632.2454035,620,12.756,262,,-1.9%
9/26/2025,10:54.7,5399,9060,RampUp,633.7401895,640,12.756,255,,1.0%
9/26/2025,10:54.7,5399,9060,RampUp,635.742493,640,12.751,258,,0.7%
9/26/2025,10:54.7,5399,9060,RampUp,637.3361365,620,12.756,266,,-2.7%
9/26/2025,10:54.7,5399,9060,RampUp,638.8998082999999,640,12.756,255,,0.2%
9/26/2025,10:54.7,5399,9060,RampUp,640.4408177,640,12.76,258,,-0.1%
9/26/2025,10:54.7,5399,9060,RampUp,641.9741912,640,12.756,255,,-0.3%
9/26/2025,10:54.7,5399,9060,RampUp,643.8075264,640,12.756,251,,-0.6%
9/26/2025,10:54.7,5399,9060,RampUp,645.3429824,620,12.751,298,,-3.9%
9/26/2025,10:54.7,5399,9060,RampUp,646.9006107600001,640,12.751,320,,-1.1%
9/26/2025,10:54.8,5399,9060,RampUp,648.4481535,640,12.756,306,,-1.3%
9/26/2025,10:54.8,5399,9060,RampUp,650.0286078,660,12.756,295,,1.5%
9/26/2025,10:54.8,5399,9060,RampUp,651.5783145600001,680,12.756,287,,4.4%
9/26/2025,10:54.8,5399,9060,RampUp,653.1555430799999,680,12.756,255,,4.1%
9/26/2025,10:54.8,5399,9060,RampUp,654.6789941,680,12.756,236,,3.9%
9/26/2025,10:54.8,5399,9060,RampUp,656.3725976200001,660,12.756,222,,0.6%
9/26/2025,10:54.8,5399,9060,RampUp,657.8352478,680,12.756,236,,3.4%
9/26/2025,10:54.8,5399,9060,RampUp,659.314027,660,12.756,233,,0.1%
9/26/2025,10:54.8,5399,9060,RampUp,660.7937046600001,660,12.756,284,,-0.1%
9/26/2025,10:54.9,5399,9060,RampUp,662.7998465599999,660,12.751,302,,-0.4%
9/26/2025,10:54.9,5399,9060,RampUp,664.4938176,660,12.747,298,,-0.7%
9/26/2025,10:54.9,5399,9060,RampUp,666.0710869800001,660,12.751,291,,-0.9%
9/26/2025,10:54.9,5399,9060,RampUp,667.6447221199999,660,12.756,280,,-1.1%
9/26/2025,10:54.9,5399,9060,RampUp,669.2373448,680,12.756,269,,1.6%
9/26/2025,10:54.9,5399,9060,RampUp,670.8057940199999,680,12.756,273,,1.4%
9/26/2025,10:54.9,5399,9060,RampUp,672.6925800399999,700,12.756,269,,4.1%
9/26/2025,10:54.9,5399,9060,RampUp,674.1771577,700,12.756,262,,3.8%
9/26/2025,10:55.0,5399,9060,RampUp,675.7397271,700,12.756,244,,3.6%
9/26/2025,10:55.0,5399,9060,RampUp,677.2596256,680,12.756,225,,0.4%
9/26/2025,10:55.0,5399,9060,RampUp,679.0539649,680,12.756,222,,0.1%
9/26/2025,10:55.0,5399,9060,RampUp,680.5928918,660,12.76,225,,-3.0%
9/26/2025,10:55.0,5399,9060,RampUp,682.1271635,660,12.747,295,,-3.2%
9/26/2025,10:55.0,5399,9060,RampUp,683.7088837,660,12.751,349,,-3.5%
9/26/2025,10:55.0,5399,9060,RampUp,685.2680638,660,12.751,353,,-3.7%
9/26/2025,10:55.0,5399,9060,RampUp,686.8226298199999,700,12.756,331,,1.9%
9/26/2025,10:55.0,5399,9060,RampUp,688.4229699599999,700,12.751,317,,1.7%
9/26/2025,10:55.1,5399,9060,RampUp,689.991746,700,12.756,258,,1.5%
9/26/2025,10:55.1,5399,9060,RampUp,691.6225070000002,720,12.751,244,,4.1%
9/26/2025,10:55.1,5399,9060,RampUp,693.702108,720,12.756,236,,3.8%
9/26/2025,10:55.1,5399,9060,RampUp,695.2059182,720,12.747,236,,3.6%
9/26/2025,10:55.1,5399,9060,RampUp,697.2524442,720,12.747,247,,3.3%
9/26/2025,10:55.1,5399,9060,RampUp,698.8393501999999,720,12.747,244,,3.0%
9/26/2025,10:55.1,5399,9060,RampUp,700.3627603399999,700,12.747,251,,-0.1%
9/26/2025,10:55.1,5399,9060,RampUp,701.8956847400001,700,12.751,251,,-0.3%
9/26/2025,10:55.1,5399,9060,RampUp,703.3240348800001,700,12.751,255,,-0.5%
9/26/2025,10:55.2,5399,9060,RampUp,704.7328258,700,12.747,280,,-0.7%
9/26/2025,10:55.2,5399,9060,RampUp,706.1534993,700,12.751,313,,-0.9%
9/26/2025,10:55.2,5399,9060,RampUp,707.8091685400001,700,12.751,306,,-1.1%
9/26/2025,10:55.2,5399,9060,RampUp,709.1714912,700,12.751,302,,-1.3%
9/26/2025,10:55.2,5399,9060,RampUp,710.6069056,720,12.756,291,,1.3%
9/26/2025,10:55.2,5399,9060,RampUp,712.0733941000001,740,12.751,287,,3.9%
9/26/2025,10:55.2,5399,9060,RampUp,713.5071342400001,720,12.756,277,,0.9%
9/26/2025,10:55.2,5399,9060,RampUp,715.2755853,740,12.756,277,,3.5%
9/26/2025,10:55.2,5399,9060,RampUp,716.7773945,740,12.751,273,,3.2%
9/26/2025,10:55.3,5399,9060,RampUp,718.2611963,720,12.751,269,,0.2%
9/26/2025,10:55.3,5399,9060,RampUp,719.7689673000001,740,12.756,244,,2.8%
9/26/2025,10:55.3,5399,9060,RampUp,721.3842524400001,740,12.756,229,,2.6%
9/26/2025,10:55.3,5399,9060,RampUp,722.8351425799999,720,12.756,225,,-0.4%
9/26/2025,10:55.3,5399,9060,RampUp,724.2993445,740,12.756,225,,2.2%
9/26/2025,10:55.3,5399,9060,RampUp,725.8652212,720,12.756,225,,-0.8%
9/26/2025,10:55.3,5399,9060,RampUp,727.4486156,720,12.751,269,,-1.0%
9/26/2025,10:55.3,5399,9060,RampUp,729.2244167,720,12.747,298,,-1.3%
9/26/2025,10:55.3,5399,9060,RampUp,731.1092426800002,700,12.751,287,,-4.3%
9/26/2025,10:55.4,5399,9060,RampUp,732.6768753199999,720,12.751,284,,-1.7%
9/26/2025,10:55.4,5399,9060,RampUp,734.6024938400001,720,12.742,273,,-2.0%
9/26/2025,10:55.4,5399,9060,RampUp,736.3078573600001,740,12.751,273,,0.5%
9/26/2025,10:55.4,5399,9060,RampUp,738.0991341199999,740,12.751,266,,0.3%
9/26/2025,10:55.4,5399,9060,RampUp,739.6365910200001,740,12.756,266,,0.0%
9/26/2025,10:55.4,5399,9060,RampUp,741.8466545,760,12.751,269,,2.4%
9/26/2025,10:55.4,5399,9060,RampUp,743.7318071799999,740,12.756,262,,-0.5%
9/26/2025,10:55.4,5399,9060,RampUp,745.3265531999999,740,12.751,262,,-0.7%
9/26/2025,10:55.5,5399,9060,RampUp,746.9977392200001,740,12.751,262,,-0.9%
9/26/2025,10:55.5,5399,9060,RampUp,748.4126552,740,12.751,262,,-1.1%
9/26/2025,10:55.5,5399,9060,RampUp,749.8676286199999,740,12.751,262,,-1.3%
9/26/2025,10:55.5,5399,9060,RampUp,751.8514346,760,12.756,262,,1.1%
9/26/2025,10:55.5,5399,9060,RampUp,753.3614107,740,12.756,269,,-1.8%
9/26/2025,10:55.5,5399,9060,RampUp,754.8828608,740,12.756,266,,-2.0%
9/26/2025,10:55.5,5399,9060,RampUp,756.4362427,740,12.751,309,,-2.2%
9/26/2025,10:55.5,5399,9060,RampUp,757.9815394599999,740,12.751,320,,-2.4%
